rowid,study_name,individual_id,complete_clutch,date_egg,delta_15_n,delta_13_c,comments
1,PAL0708,N1A1,Yes,11/11/07,,,Not enough blood for isotopes.
2,PAL0708,N1A2,Yes,11/11/07,8.94956,-24.69454,
3,PAL0708,N2A1,Yes,11/16/07,8.36821,-25.33302,
4,PAL0708,N2A2,Yes,11/16/07,,,Adult not sampled.
5,PAL0708,N3A1,Yes,11/16/07,8.76651,-25.32426,
6,PAL0708,N3A2,Yes,11/16/07,8.66496,-25.29805,
7,PAL0708,N4A1,No,11/15/07,9.18718,-25.21799,Nest never observed with full clutch.
8,PAL0708,N4A2,No,11/15/07,9.4606,-24.89958,Nest never observed with full clutch.
9,PAL0708,N5A1,Yes,11/9/07,,,No blood sample obtained.
10,PAL0708,N5A2,Yes,11/9/07,9.13362,-25.09368,No blood sample obtained for sexing.
11,PAL0708,N6A1,Yes,11/9/07,8.63243,-25.21315,No blood sample obtained for sexing.
12,PAL0708,N6A2,Yes,11/9/07,,,No blood sample obtained.
13,PAL0708,N7A1,Yes,11/15/07,,,Not enough blood for isotopes.
14,PAL0708,N7A2,Yes,11/15/07,,,Not enough blood for isotopes.
15,PAL0708,N8A1,Yes,11/16/07,8.55583,-25.22588,
16,PAL0708,N8A2,Yes,11/16/07,,,Not enough blood for isotopes.
17,PAL0708,N9A1,Yes,11/12/07,9.18528,-25.06691,
18,PAL0708,N9A2,Yes,11/12/07,8.67538,-25.13993,
19,PAL0708,N10A1,Yes,11/16/07,8.47827,-25.23319,
20,PAL0708,N10A2,Yes,11/16/07,9.11616,-24.77227,
21,PAL0708,N11A1,Yes,11/12/07,8.73762,-25.09383,
22,PAL0708,N11A2,Yes,11/12/07,8.66271,-25.0639,
23,PAL0708,N12A1,Yes,11/12/07,9.22286,-25.03474,
24,PAL0708,N12A2,Yes,11/12/07,8.43423,-25.22664,
25,PAL0708,N13A1,Yes,11/10/07,9.63954,-25.29856,
26,PAL0708,N13A2,Yes,11/10/07,9.21292,-24.3613,
27,PAL0708,N17A1,Yes,11/12/07,8.93997,-25.36288,
28,PAL0708,N17A2,Yes,11/12/07,8.08138,-25.49448,
29,PAL0708,N18A1,No,11/10/07,8.38404,-25.19837,Nest never observed with full clutch.
30,PAL0708,N18A2,No,11/10/07,8.90027,-25.11609,Nest never observed with full clutch.
31,PAL0708,N21A1,Yes,11/9/07,9.69756,-25.11223,
32,PAL0708,N21A2,Yes,11/9/07,9.72764,-25.0102,
33,PAL0708,N22A1,Yes,11/9/07,9.66523,-25.0602,
34,PAL0708,N22A2,Yes,11/9/07,8.79665,-25.14591,
35,PAL0708,N23A1,Yes,11/16/07,9.17847,-25.23061,
36,PAL0708,N23A2,Yes,11/16/07,9.15308,-25.03469,
37,PAL0708,N24A1,Yes,11/16/07,9.18985,-25.12255,
38,PAL0708,N24A2,Yes,11/16/07,8.04787,-25.49523,
39,PAL0708,N25A1,No,11/13/07,9.41131,-25.04169,Nest never observed with full clutch.
40,PAL0708,N25A2,No,11/13/07,,,Nest never observed with full clutch. Not enough blood for isotopes.
41,PAL0708,N26A1,Yes,11/16/07,9.68933,-24.4228,
42,PAL0708,N26A2,Yes,11/16/07,,,Not enough blood for isotopes.
43,PAL0708,N27A1,Yes,11/19/07,9.50772,-25.03492,
44,PAL0708,N27A2,Yes,11/19/07,9.2372,-24.52698,
45,PAL0708,N28A1,Yes,11/16/07,9.36392,-25.01745,
46,PAL0708,N28A2,Yes,11/16/07,9.49106,-24.10255,
47,PAL0708,N29A1,Yes,11/13/07,,,Not enough blood for isotopes.
48,PAL0708,N29A2,Yes,11/13/07,,,Sexing primers did not amplify. Not enough blood for isotopes.
49,PAL0708,N30A1,Yes,11/13/07,9.51784,-25.07683,
50,PAL0708,N30A2,Yes,11/13/07,8.87988,-25.18543,
51,PAL0809,N21A1,Yes,11/6/08,8.46616,-26.12989,
52,PAL0809,N21A2,Yes,11/6/08,8.51362,-26.55602,
53,PAL0809,N22A1,Yes,11/9/08,8.19539,-26.17213,
54,PAL0809,N22A2,Yes,11/9/08,8.48095,-26.3146,
55,PAL0809,N23A1,Yes,11/9/08,8.41837,-26.54718,
56,PAL0809,N23A2,Yes,11/9/08,8.35396,-26.27853,
57,PAL0809,N24A1,Yes,11/15/08,8.57199,-26.07188,
58,PAL0809,N24A2,Yes,11/15/08,8.56674,-25.98843,
59,PAL0809,N25A1,Yes,11/15/08,9.07878,-25.88156,
60,PAL0809,N25A2,Yes,11/15/08,9.108,-25.89677,
61,PAL0809,N27A1,Yes,11/13/08,8.96472,-26.40943,
62,PAL0809,N27A2,Yes,11/13/08,8.74802,-26.37809,
63,PAL0809,N28A1,Yes,11/13/08,8.58063,-26.21569,
64,PAL0809,N28A2,Yes,11/13/08,8.62264,-26.60023,
65,PAL0809,N29A1,Yes,11/13/08,8.62623,-26.1165,
66,PAL0809,N29A2,Yes,11/13/08,8.85562,-26.09294,
67,PAL0809,N30A1,Yes,11/6/08,8.56192,-25.95541,
68,PAL0809,N30A2,Yes,11/6/08,8.71078,-25.81012,
69,PAL0809,N32A1,No,11/11/08,8.47781,-26.07821,Nest never observed with full clutch.
70,PAL0809,N32A2,No,11/11/08,8.86853,-26.06209,Nest never observed with full clutch.
71,PAL0809,N34A1,Yes,11/14/08,7.88863,-26.63085,
72,PAL0809,N34A2,Yes,11/14/08,9.29808,-25.23453,
73,PAL0809,N35A1,Yes,11/11/08,8.33524,-26.55351,
74,PAL0809,N35A2,Yes,11/11/08,8.18658,-26.45978,
75,PAL0809,N36A1,Yes,11/8/08,8.70642,-26.15003,
76,PAL0809,N36A2,Yes,11/8/08,8.2993,-26.38986,
77,PAL0809,N37A1,Yes,11/6/08,8.47257,-26.02002,
78,PAL0809,N37A2,Yes,11/6/08,8.3554,-26.44787,
79,PAL0809,N38A1,Yes,11/9/08,7.82381,-26.51382,
80,PAL0809,N38A2,Yes,11/9/08,9.05736,-25.81513,
81,PAL0809,N39A1,Yes,11/2/08,7.69778,-26.5387,
82,PAL0809,N39A2,Yes,11/2/08,8.63259,-26.23027,
83,PAL0809,N40A1,Yes,11/7/08,7.88494,-26.24837,
84,PAL0809,N40A2,Yes,11/7/08,8.90002,-26.46254,
85,PAL0809,N41A1,Yes,11/17/08,8.32718,-26.38396,
86,PAL0809,N41A2,Yes,11/17/08,9.14863,-26.09635,
87,PAL0809,N42A1,Yes,11/8/08,8.57087,-26.22227,
88,PAL0809,N42A2,Yes,11/8/08,8.59147,-26.08165,
89,PAL0809,N44A1,Yes,11/8/08,9.07826,-26.12417,
90,PAL0809,N44A2,Yes,11/8/08,8.36936,-26.11199,
91,PAL0809,N45A1,Yes,11/14/08,8.46531,-26.05621,
92,PAL0809,N45A2,Yes,11/14/08,8.77018,-25.83352,
93,PAL0809,N46A1,Yes,11/5/08,8.01485,-26.69543,
94,PAL0809,N46A2,Yes,11/5/08,8.49915,-26.42406,
95,PAL0809,N48A1,Yes,11/17/08,8.90723,-26.30037,
96,PAL0809,N48A2,Yes,11/17/08,8.48204,-26.57941,
97,PAL0809,N49A1,Yes,11/8/08,8.10277,-26.50086,
98,PAL0809,N49A2,Yes,11/8/08,8.39459,-26.01152,
99,PAL0809,N50A1,Yes,11/10/08,9.04218,-26.15775,
100,PAL0809,N50A2,Yes,11/10/08,8.97025,-26.03679,
101,PAL0910,N47A1,Yes,11/9/09,8.84451,-26.28055,
102,PAL0910,N47A2,Yes,11/9/09,9.01079,-26.38085,
103,PAL0910,N49A1,Yes,11/15/09,9.2151,-26.2253,
104,PAL0910,N49A2,Yes,11/15/09,9.51929,-25.69199,
105,PAL0910,N51A1,Yes,11/15/09,9.02642,-25.86482,
106,PAL0910,N51A2,Yes,11/15/09,8.85699,-25.80208,
107,PAL0910,N53A1,Yes,11/15/09,8.77322,-26.48973,
108,PAL0910,N53A2,Yes,11/15/09,9.59245,-25.70711,
109,PAL0910,N55A1,Yes,11/20/09,9.79532,-25.27385,
110,PAL0910,N55A2,Yes,11/20/09,9.31735,-25.45171,
111,PAL0910,N58A1,Yes,11/12/09,8.43951,-26.57563,
112,PAL0910,N58A2,Yes,11/12/09,8.65466,-26.32909,
113,PAL0910,N60A1,Yes,11/15/09,9.02657,-26.06203,
114,PAL0910,N60A2,Yes,11/15/09,8.80186,-26.41218,
115,PAL0910,N61A1,Yes,11/17/09,8.80967,-26.78958,
116,PAL0910,N61A2,Yes,11/17/09,8.91434,-26.42018,
117,PAL0910,N63A1,Yes,11/18/09,9.18021,-25.77264,
118,PAL0910,N63A2,Yes,11/18/09,9.49645,-26.36678,
119,PAL0910,N64A1,Yes,11/22/09,8.96436,-23.90309,
120,PAL0910,N64A2,Yes,11/22/09,9.32277,-26.09989,
121,PAL0910,N66A1,No,11/17/09,9.04296,-26.19444,Nest never observed with full clutch.
122,PAL0910,N66A2,No,11/17/09,9.11066,-26.42563,Nest never observed with full clutch.
123,PAL0910,N67A1,Yes,11/16/09,9.30722,-25.61039,
124,PAL0910,N67A2,Yes,11/16/09,9.59462,-25.42621,
125,PAL0910,N69A1,Yes,11/18/09,8.81668,-25.95399,
126,PAL0910,N69A2,Yes,11/18/09,9.22537,-25.60826,
127,PAL0910,N71A1,Yes,11/21/09,8.88098,-25.89741,
128,PAL0910,N71A2,Yes,11/21/09,8.52566,-26.0245,
129,PAL0910,N72A1,Yes,11/18/09,9.19031,-25.73722,
130,PAL0910,N72A2,Yes,11/18/09,9.10702,-26.01363,
131,PAL0910,N73A1,No,11/23/09,8.9846,-25.57956,Nest never observed with full clutch.
132,PAL0910,N73A2,No,11/23/09,8.86495,-26.1396,Nest never observed with full clutch.
133,PAL0910,N76A1,Yes,11/10/09,8.98705,-25.57647,
134,PAL0910,N76A2,Yes,11/10/09,8.56708,-26.49288,
135,PAL0910,N77A1,Yes,11/13/09,8.717,-25.77951,
136,PAL0910,N77A2,Yes,11/13/09,8.94365,-26.06943,
137,PAL0910,N78A1,Yes,11/16/09,8.75984,-25.97696,
138,PAL0910,N78A2,Yes,11/16/09,8.95998,-26.32601,
139,PAL0910,N79A1,No,11/16/09,8.61651,-26.07021,Nest never observed with full clutch.
140,PAL0910,N79A2,No,11/16/09,9.25769,-25.88798,Nest never observed with full clutch.
141,PAL0910,N80A1,Yes,11/14/09,9.2881,-25.54976,
142,PAL0910,N80A2,Yes,11/14/09,9.23408,-26.01549,
143,PAL0910,N81A1,Yes,11/16/09,8.79787,-26.61075,
144,PAL0910,N81A2,Yes,11/16/09,9.05674,-25.79529,
145,PAL0910,N82A1,Yes,11/16/09,9.06829,-25.85203,
146,PAL0910,N82A2,Yes,11/16/09,9.22033,-26.03442,
147,PAL0910,N83A1,Yes,11/13/09,9.11006,-25.79549,
148,PAL0910,N83A2,Yes,11/13/09,8.68744,-25.8306,
149,PAL0910,N84A1,Yes,11/17/09,8.94332,-25.79189,
