rowid,species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,year
153,Gentoo,Biscoe,46.1,13.2,211,4500,female,2007
154,Gentoo,Biscoe,50,16.3,230,5700,male,2007
155,Gentoo,Biscoe,48.7,14.1,210,4450,female,2007
156,Gentoo,Biscoe,50,15.2,218,5700,male,2007
157,Gentoo,Biscoe,47.6,14.5,215,5400,male,2007
158,Gentoo,Biscoe,46.5,13.5,210,4550,female,2007
159,Gentoo,Biscoe,45.4,14.6,211,4800,female,2007
160,Gentoo,Biscoe,46.7,15.3,219,5200,male,2007
161,Gentoo,Biscoe,43.3,13.4,209,4400,female,2007
162,Gentoo,Biscoe,46.8,15.4,215,5150,male,2007
163,Gentoo,Biscoe,40.9,13.7,214,4650,female,2007
164,Gentoo,Biscoe,49,16.1,216,5550,male,2007
165,Gentoo,Biscoe,45.5,13.7,214,4650,female,2007
166,Gentoo,Biscoe,48.4,14.6,213,5850,male,2007
167,Gentoo,Biscoe,45.8,14.6,210,4200,female,2007
168,Gentoo,Biscoe,49.3,15.7,217,5850,male,2007
169,Gentoo,Biscoe,42,13.5,210,4150,female,2007
170,Gentoo,Biscoe,49.2,15.2,221,6300,male,2007
171,Gentoo,Biscoe,46.2,14.5,209,4800,female,2007
172,Gentoo,Biscoe,48.7,15.1,222,5350,male,2007
173,Gentoo,Biscoe,50.2,14.3,218,5700,male,2007
174,Gentoo,Biscoe,45.1,14.5,215,5000,female,2007
175,Gentoo,Biscoe,46.5,14.5,213,4400,female,2007
176,Gentoo,Biscoe,46.3,15.8,215,5050,male,2007
177,Gentoo,Biscoe,42.9,13.1,215,5000,female,2007
178,Gentoo,Biscoe,46.1,15.1,215,5100,male,2007
179,Gentoo,Biscoe,44.5,14.3,216,4100,NA,2007
180,Gentoo,Biscoe,47.8,15,215,5650,male,2007
181,Gentoo,Biscoe,48.2,14.3,210,4600,female,2007
182,Gentoo,Biscoe,50,15.3,220,5550,male,2007
183,Gentoo,Biscoe,47.3,15.3,222,5250,male,2007
184,Gentoo,Biscoe,42.8,14.2,209,4700,female,2007
185,Gentoo,Biscoe,45.1,14.5,207,5050,female,2007
186,Gentoo,Biscoe,59.6,17,230,6050,male,2007
187,Gentoo,Biscoe,49.1,14.8,220,5150,female,2008
188,Gentoo,Biscoe,48.4,16.3,220,5400,male,2008
189,Gentoo,Biscoe,42.6,13.7,213,4950,female,2008
190,Gentoo,Biscoe,44.4,17.3,219,5250,male,2008
191,Gentoo,Biscoe,44,13.6,208,4350,female,2008
192,Gentoo,Biscoe,48.7,15.7,208,5350,male,2008
193,Gentoo,Biscoe,42.7,13.7,208,3950,female,2008
194,Gentoo,Biscoe,49.6,16,225,5700,male,2008
195,Gentoo,Biscoe,45.3,13.7,210,4300,female,2008
196,Gentoo,Biscoe,49.6,15,216,4750,male,2008
197,Gentoo,Biscoe,50.5,15.9,222,5550,male,2008
198,Gentoo,Biscoe,43.6,13.9,217,4900,female,2008
199,Gentoo,Biscoe,45.5,13.9,210,4200,female,2008
200,Gentoo,Biscoe,50.5,15.9,225,5400,male,2008
201,Gentoo,Biscoe,44.9,13.3,213,5100,female,2008
202,Gentoo,Biscoe,45.2,15.8,215,5300,male,2008
203,Gentoo,Biscoe,46.6,14.2,210,4850,female,2008
204,Gentoo,Biscoe,48.5,14.1,220,5300,male,2008
205,Gentoo,Biscoe,45.1,14.4,210,4400,female,2008
